energy,count,color
-9.285714000000098,4,g
-9.142857000000049,8,g
-9.071427999999969,4,g
-9.0,12,g
-8.928571000000034,13,g
-8.857142999999951,16,g
-8.785713999999984,22,g
-8.714285000000132,18,g
-8.642856999999935,31,g
-8.571428000000083,38,g
-8.500000000000114,10,g
-8.428571000000034,58,g
-8.357142000000067,44,g
-8.321428999999966,27,r
-8.214285000000018,76,g
-8.178571000000034,34,r
-8.142857000000049,38,g
-8.107142999999951,20,r
-8.035714000000098,41,r
-8.0,96,g
-7.964285000000018,80,r
-7.928571000000034,18,g
-7.892857000000049,82,r
-7.821428000000083,97,r
-7.785714000000098,87,g
-7.7499990000000025,67,r
-7.678571000000034,176,r
-7.607142000000067,166,r
-7.571428000000083,64,g
-7.535714000000098,156,r
-7.464285000000018,277,r
-7.392857000000049,55,r
-7.357143000000065,28,g
-7.321427999999969,250,r
-7.25,415,r
-7.17857099999992,78,r
-7.107141999999953,394,r
-7.0357139999999845,254,r
-7.0,95,r
-6.964285000000018,91,r
-6.892855999999938,558,r
-6.857142999999951,89,r
-6.821427999999969,333,r
-6.7857139999999845,131,r
-6.749999000000116,73,r
-6.7142860000000155,146,r
-6.678571000000034,130,r
